"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Longitude"	"GPS Distance"	"Lateral Acceleration"	"GPS Lateral Acceleration"	"Longitudinal Acceleration"	"Latitude"	"GPS Longitudinal Acceleration"	"GPS Speed"
2021-05-21	13:43:39	0	0	0
2021-05-21	13:43:39	0	100000000	100000000	-112.382803	3.360578	0.002443	-0.023555	0.865076	40.583165	0.129358	121.095701
2021-05-21	13:43:39	0	200000000	200000000	-112.382843	6.732788	0.010054	-0.024843	0.768847	40.583165	0.127484	121.693703
2021-05-21	13:43:39	0	300000000	300000000	-112.382883	10.119670	-0.002994	-0.024224	0.666083	40.583164	0.123048	122.194706
2021-05-21	13:43:39	0	400000000	400000000	-112.382923	13.519075	-0.027914	-0.022956	0.660984	40.583164	0.116063	122.595691
2021-05-21	13:43:39	0	500000000	500000000	-112.382964	16.928753	-0.045361	-0.019789	0.711069	40.583163	0.110945	122.896705
2021-05-21	13:43:39	0	600000000	600000000	-112.383004	20.348028	-0.040597	-0.015971	0.737300	40.583162	0.107740	123.295701
2021-05-21	13:43:39	0	700000000	700000000	-112.383045	23.777155	-0.017756	-0.012147	0.714323	40.583162	0.105815	123.596704
2021-05-21	13:43:39	0	800000000	800000000	-112.383086	27.216137	-0.002824	-0.007061	0.667177	40.583161	0.105796	123.995698
2021-05-21	13:43:39	0	900000000	900000000	-112.383127	30.666021	-0.006882	-0.000701	0.648492	40.583161	0.107058	124.395688
2021-05-21	13:43:39	0	1000000000	1000000000	-112.383168	34.127014	-0.003363	0.007565	0.695192	40.583160	0.108332	124.795691
2021-05-21	13:43:39	0	1100000000	1100000000	-112.383209	37.599118	0.020601	0.019005	0.755522	40.583159	0.108976	125.195692
2021-05-21	13:43:39	0	1200000000	1200000000	-112.383250	41.082334	0.032119	0.031739	0.725747	40.583159	0.108351	125.595683
2021-05-21	13:43:39	0	1300000000	1300000000	-112.383292	44.576399	0.018282	0.045747	0.631864	40.583158	0.107714	125.995684
2021-05-21	13:43:39	0	1400000000	1400000000	-112.383333	48.080525	0.017624	0.059137	0.621607	40.583158	0.106446	126.296698
2021-05-21	13:43:39	0	1500000000	1500000000	-112.383375	51.594507	0.045770	0.071259	0.707514	40.583158	0.104540	126.695694
2021-05-21	13:43:39	0	1600000000	1600000000	-112.383417	55.119392	0.074256	0.078952	0.745781	40.583157	0.103890	127.095684
2021-05-21	13:43:39	0	1700000000	1700000000	-112.383458	58.655124	0.094775	0.082183	0.692686	40.583157	0.102622	127.495685
2021-05-21	13:43:39	0	1800000000	1800000000	-112.383501	62.200917	0.114669	0.080953	0.652216	40.583157	0.102609	127.796688
2021-05-21	13:43:39	0	1900000000	1900000000	-112.383543	65.756305	0.114924	0.074631	0.681000	40.583157	0.101978	128.195684
2021-05-21	13:43:39	0	2000000000	2000000000	-112.383585	69.321544	0.088018	0.064472	0.717470	40.583157	0.101972	128.496685
2021-05-21	13:43:39	0	2100000000	2100000000	-112.383627	72.896639	0.064579	0.050489	0.707512	40.583157	0.101972	128.895694
2021-05-21	13:43:39	0	2200000000	2200000000	-112.383670	76.482374	0.059805	0.034575	0.686216	40.583157	0.101972	129.295684
2021-05-21	13:43:39	0	2300000000	2300000000	-112.383713	80.078168	0.055557	0.016749	0.694672	40.583157	0.101972	129.596685
2021-05-21	13:43:39	0	2400000000	2400000000	-112.383756	83.683807	0.045844	-0.001096	0.708816	40.583157	0.101341	129.995681
2021-05-21	13:43:39	0	2500000000	2500000000	-112.383798	87.300048	0.040177	-0.018763	0.702242	40.583157	0.100085	130.391680
2021-05-21	13:43:39	0	2600000000	2600000000	-112.383841	90.926045	0.031591	-0.035359	0.691947	40.583157	0.099435	130.693677
2021-05-21	13:43:39	0	2700000000	2700000000	-112.383884	94.560851	0.008546	-0.049431	0.692879	40.583157	0.098173	130.993673
2021-05-21	13:43:39	0	2800000000	2800000000	-112.383927	98.205036	-0.026882	-0.060329	0.696608	40.583157	0.097523	131.391685
2021-05-21	13:43:39	0	2900000000	2900000000	-112.383971	101.859067	-0.070542	-0.067416	0.696340	40.583157	0.097511	131.693670
2021-05-21	13:43:39	0	3000000000	3000000000	-112.384014	105.522694	-0.109353	-0.069430	0.693038	40.583157	0.097511	132.091671
2021-05-21	13:43:39	0	3100000000	3100000000	-112.384058	109.196169	-0.114468	-0.066345	0.690833	40.583157	0.098135	132.393680
2021-05-21	13:43:39	0	3200000000	3200000000	-112.384102	112.879240	-0.082523	-0.059411	0.699729	40.583156	0.098772	132.791669
2021-05-21	13:43:39	0	3300000000	3300000000	-112.384145	116.572161	-0.050326	-0.049902	0.719688	40.583156	0.099410	133.093678
2021-05-21	13:43:39	0	3400000000	3400000000	-112.384189	120.274677	-0.041322	-0.038469	0.729756	40.583155	0.099422	133.491666
2021-05-21	13:43:39	0	3500000000	3500000000	-112.384233	123.986522	-0.043610	-0.025123	0.714003	40.583155	0.099422	133.793675
2021-05-21	13:43:39	0	3600000000	3600000000	-112.384258	127.705619	-0.041536	-0.017361	0.682962	40.583155	0.099422	133.995665
2021-05-21	13:43:39	0	3700000000	3700000000	-112.384280	131.430497	-0.026758	-0.010337	0.666795	40.583155	0.099422	134.195667
2021-05-21	13:43:39	0	3800000000	3800000000	-112.384302	135.160936	-0.003680	-0.003327	0.683895	40.583154	0.098798	134.395679
2021-05-21	13:43:39	0	3900000000	3900000000	-112.384324	138.896671	0.006678	0.003684	0.705245	40.583154	0.098785	134.595669
2021-05-21	13:43:39	0	4000000000	4000000000	-112.384346	142.638217	0.003779	0.010694	0.694358	40.583154	0.098161	134.697664
2021-05-21	13:43:39	0	4100000000	4100000000	-112.384430	146.390578	0.010590	0.033319	0.674465	40.583153	0.098772	135.385678
2021-05-21	13:43:39	0	4200000000	4200000000	-112.384519	150.160530	0.025259	0.044396	0.677370	40.583153	0.105031	136.085676
2021-05-21	13:43:39	0	4300000000	4300000000	-112.384590	153.947038	0.032431	0.038367	0.681210	40.583152	0.115152	136.589675
2021-05-21	13:43:39	0	4400000000	4400000000	-112.384635	157.746579	0.038511	0.028871	0.673610	40.583152	0.120352	136.991654
2021-05-21	13:43:39	0	4500000000	4500000000	-112.384680	161.557462	0.047274	0.017437	0.682193	40.583152	0.120454	137.391668
2021-05-21	13:43:39	0	4600000000	4600000000	-112.384726	165.379461	0.043431	0.005965	0.704890	40.583152	0.112959	137.791659
2021-05-21	13:43:39	0	4700000000	4700000000	-112.384771	169.212570	0.018994	-0.004257	0.707353	40.583152	0.093444	138.191649
2021-05-21	13:43:39	0	4800000000	4800000000	-112.384817	173.056271	-0.012482	-0.010707	0.688442	40.583152	0.068691	138.591663
2021-05-21	13:43:39	0	4900000000	4900000000	-112.384863	176.908478	-0.032431	-0.013957	0.675034	40.583151	0.043835	138.795653
2021-05-21	13:43:39	0	5000000000	5000000000	-112.384908	180.766687	-0.038396	-0.017144	0.671325	40.583151	0.018980	138.995656
2021-05-21	13:43:39	0	5100000000	5100000000	-112.384954	184.630460	-0.035464	-0.018457	0.669199	40.583151	-0.013371	139.195656
2021-05-21	13:43:39	0	5200000000	5200000000	-112.384999	188.498749	-0.018664	-0.019107	0.673624	40.583151	-0.046499	139.395670
2021-05-21	13:43:39	0	5300000000	5300000000	-112.385045	192.366604	0.004382	-0.017870	0.669131	40.583150	-0.094630	139.203661
2021-05-21	13:43:39	0	5400000000	5400000000	-112.385090	196.225627	0.002516	-0.014097	0.621141	40.583150	-0.163677	138.709645
2021-05-21	13:43:39	0	5500000000	5500000000	-112.385135	200.068843	-0.027443	-0.007775	0.533755	40.583150	-0.233145	138.111668
2021-05-21	13:43:39	0	5600000000	5600000000	-112.385180	203.888335	-0.043953	-0.001402	0.426907	40.583150	-0.301364	137.021662
